Function; Size; Time; Result
1; 1; 3; 2503.32
2; 1; 2; 2503.32
1; 1; 0; -7551.42
2; 1; 0; -7551.42
1; 1; 0; -2972.62
2; 1; 0; -2972.62
1; 1; 0; -116.144
2; 1; 0; -116.144
1; 1; 0; -501.316
2; 1; 0; -501.316
1; 1; 0; -5640.08
2; 1; 0; -5640.08
1; 1; 0; 45.3233
2; 1; 1; 45.3233
1; 1; 0; 900.648
2; 1; 1; 900.648
1; 1; 0; -3872.46
2; 1; 1; -3872.46
1; 1; 0; 1626.31
2; 1; 1; 1626.31
1; 8; 0; -3563.92
2; 8; 0; -3563.92
1; 8; 1; -4688.73
2; 8; 1; -4688.73
1; 8; 0; -4402.53
2; 8; 0; -4402.53
1; 8; 0; -5251.21
2; 8; 0; -5251.21
1; 8; 1; 17035.1
2; 8; 1; 17035.1
1; 8; 0; 5729.18
2; 8; 1; 5729.18
1; 8; 0; -13293
2; 8; 0; -13293
1; 8; 1; -4430.78
2; 8; 1; -4430.78
1; 8; 0; 6309
2; 8; 1; 6309
1; 8; 0; -21040.4
2; 8; 0; -21040.4
1; 64; 0; 14646.1
2; 64; 0; 14646.1
1; 64; 0; -28958.9
2; 64; 0; -28958.9
1; 64; 0; -791.419
2; 64; 0; -791.419
1; 64; 0; 30750
2; 64; 0; 30750
1; 64; 1; -7743.31
2; 64; 1; -7743.31
1; 64; 1; 21827.2
2; 64; 1; 21827.2
1; 64; 1; 5476.31
2; 64; 1; 5476.31
1; 64; 1; 50976
2; 64; 1; 50976
1; 64; 1; -31994.5
2; 64; 1; -31994.5
1; 64; 1; 11689.3
2; 64; 1; 11689.3
1; 512; 3; 28761.7
2; 512; 1; 28761.7
1; 512; 2; -30803.7
2; 512; 1; -30803.7
1; 512; 2; 21718.5
2; 512; 1; 21718.5
1; 512; 2; 83859.4
2; 512; 2; 83859.4
1; 512; 3; 30220.9
2; 512; 1; 30220.9
1; 512; 2; 11766.1
2; 512; 1; 11766.1
1; 512; 2; -68335.5
2; 512; 2; -68335.5
1; 512; 3; -85505.6
2; 512; 1; -85505.6
1; 512; 2; -10410
2; 512; 1; -10410
1; 512; 2; 17913.2
2; 512; 2; 17913.2
1; 4096; 15; -55331.3
2; 4096; 8; -55331.3
1; 4096; 16; 353887
2; 4096; 8; 353887
1; 4096; 16; -116353
2; 4096; 8; -116353
1; 4096; 16; 137026
2; 4096; 8; 137026
1; 4096; 15; 146590
2; 4096; 7; 146590
1; 4096; 15; -171681
2; 4096; 8; -171681
1; 4096; 15; 224179
2; 4096; 8; 224179
1; 4096; 16; -5892.15
2; 4096; 7; -5892.15
1; 4096; 20; -108752
2; 4096; 9; -108752
1; 4096; 21; -209840
2; 4096; 9; -209840
1; 32768; 166; -56650.7
2; 32768; 75; -56650.7
